old_id,new_id
1,1
3,2
32771,3
32773,4
32776,5
10,6
12,7
32781,8
32782,9
32784,10
32786,11
23,12
32792,13
25,14
26,15
28,16
32,17
34,18
35,19
37,20
32807,21
32810,22
44,23
45,24
47,25
49,26
32818,27
50,28
32820,29
54,30
32827,31
32828,32
32831,33
63,34
32832,35
66,36
32833,37
32839,38
32842,39
32843,40
77,41
32846,42
79,43
32850,44
32851,45
83,46
32852,47
32854,48
87,49
32855,50
32857,51
93,52
94,53
95,54
32864,55
96,56
97,57
99,58
100,59
32869,60
106,61
108,62
32877,63
116,64
117,65
118,66
32888,67
121,68
123,69
127,70
128,71
130,72
131,73
32902,74
32904,75
32905,76
32906,77
138,78
141,79
32911,80
32912,81
32915,82
148,83
149,84
32921,85
32923,86
158,87
32927,88
160,89
162,90
32931,91
165,92
32935,93
169,94
32939,95
32940,96
172,97
32942,98
32943,99
177,100
32946,101
32950,102
32951,103
184,104
32952,105
186,106
32955,107
188,108
187,109
190,110
32959,111
194,112
196,113
32971,114
204,115
207,116
210,117
211,118
32980,119
32981,120
212,121
32982,122
216,123
217,124
215,125
219,126
32988,127
32989,128
222,129
223,130
226,131
228,132
33000,133
33007,134
33009,135
242,136
246,137
33015,138
248,139
33016,140
33021,141
33025,142
33026,143
258,144
260,145
33029,146
261,147
33031,148
264,149
33037,150
273,151
274,152
33043,153
33041,154
277,155
278,156
276,157
33045,158
33044,159
33050,160
283,161
280,162
33053,163
279,164
33055,165
288,166
287,167
33056,168
33059,169
294,170
33065,171
300,172
33071,173
305,174
310,175
311,176
33080,177
33081,178
33087,179
33089,180
33090,181
322,182
325,183
327,184
33095,185
329,186
330,187
33098,188
33100,189
335,190
33104,191
33106,192
339,193
340,194
33109,195
343,196
33113,197
347,198
33116,199
33117,200
350,201
33120,202
352,203
33122,204
33123,205
33124,206
33125,207
33127,208
360,209
33129,210
365,211
33135,212
33138,213
33143,214
33144,215
377,216
378,217
33147,218
33148,219
33151,220
33153,221
33156,222
389,223
33158,224
397,225
33168,226
401,227
403,228
405,229
33176,230
33178,231
415,232
33184,233
421,234
424,235
33195,236
427,237
429,238
33198,239
432,240
33200,241
436,242
33206,243
33209,244
443,245
445,246
33214,247
33215,248
33216,249
449,250
446,251
33222,252
455,253
457,254
33225,255
459,256
33230,257
33231,258
33232,259
33234,260
33236,261
33240,262
33245,263
480,264
33249,265
481,266
33251,267
33248,268
486,269
33257,270
493,271
500,272
502,273
33273,274
