user_id,basket_id,days_since_prior_basket,days
1,1,100000.0,252
1,2,4.0,256
1,3,5.0,261
1,4,2.0,263
1,5,7.0,270
1,6,7.0,277
1,7,7.0,284
1,8,7.0,291
1,9,4.0,295
1,10,3.0,298
1,11,7.0,305
1,12,14.0,319
1,13,7.0,326
1,14,3.0,329
1,15,4.0,333
1,16,7.0,340
1,17,4.0,344
1,18,0.0,344
2,19,100000.0,250
2,20,3.0,253
2,21,0.0,253
2,22,0.0,253
2,23,2.0,255
2,24,2.0,257
2,25,3.0,260
2,26,1.0,261
2,27,1.0,262
2,28,5.0,267
2,29,0.0,267
2,30,7.0,274
2,31,0.0,274
2,32,3.0,277
2,33,12.0,289
2,34,2.0,291
3,35,100000.0,251
3,36,3.0,254
3,37,6.0,260
3,38,2.0,262
3,39,7.0,269
3,40,6.0,275
3,41,2.0,277
3,42,6.0,283
3,43,6.0,289
3,44,6.0,295
3,45,4.0,299
3,46,1.0,300
4,47,100000.0,252
4,48,8.0,260
4,49,6.0,266
4,50,7.0,273
4,51,3.0,276
4,52,7.0,283
4,53,8.0,291
4,54,11.0,302
4,55,2.0,304
4,56,8.0,312
4,57,6.0,318
4,58,7.0,325
4,59,7.0,332
4,60,8.0,340
5,61,100000.0,250
5,62,1.0,251
5,63,3.0,254
5,64,3.0,257
5,65,1.0,258
5,66,2.0,260
5,67,4.0,264
5,68,2.0,266
5,69,1.0,267
5,70,2.0,269
5,71,2.0,271
5,72,2.0,273
5,73,2.0,275
5,74,2.0,277
5,75,3.0,280
5,76,2.0,282
5,77,1.0,283
5,78,1.0,284
5,79,2.0,286
5,80,1.0,287
5,81,0.0,287
5,82,1.0,288
5,83,1.0,289
5,84,1.0,290
5,85,0.0,290
5,86,1.0,291
5,87,1.0,292
5,88,2.0,294
5,89,2.0,296
5,90,1.0,297
5,91,0.0,297
5,92,0.0,297
5,93,4.0,301
5,94,2.0,303
5,95,2.0,305
5,96,1.0,306
5,97,0.0,306
6,98,100000.0,250
6,99,8.0,258
6,100,8.0,266
6,101,6.0,272
6,102,2.0,274
6,103,5.0,279
6,104,7.0,286
6,105,7.0,293
6,106,0.0,293
6,107,7.0,300
6,108,15.0,315
6,109,6.0,321
6,110,6.0,327
6,111,7.0,334
6,112,7.0,341
6,113,7.0,348
6,114,1.0,349
7,115,100000.0,251
7,116,6.0,257
7,117,18.0,275
7,118,4.0,279
7,119,5.0,284
7,120,2.0,286
7,121,5.0,291
7,122,0.0,291
7,123,5.0,296
7,124,2.0,298
7,125,5.0,303
7,126,2.0,305
7,127,7.0,312
7,128,2.0,314
7,129,0.0,314
8,130,100000.0,251
8,131,2.0,253
8,132,5.0,258
8,133,1.0,259
8,134,1.0,260
8,135,1.0,261
8,136,5.0,266
8,137,1.0,267
8,138,4.0,271
8,139,1.0,272
8,140,1.0,273
8,141,5.0,278
8,142,3.0,281
8,143,4.0,285
8,144,4.0,289
8,145,4.0,293
8,146,0.0,293
8,147,1.0,294
8,148,5.0,299
8,149,7.0,306
8,150,4.0,310
8,151,7.0,317
8,152,10.0,327
8,153,0.0,327
8,154,7.0,334
8,155,4.0,338
8,156,5.0,343
8,157,6.0,349
9,158,100000.0,263
9,159,17.0,280
9,160,4.0,284
9,161,2.0,286
9,162,13.0,299
9,163,2.0,301
9,164,11.0,312
9,165,3.0,315
9,166,19.0,334
10,167,100000.0,255
10,168,5.0,260
10,169,6.0,266
10,170,4.0,270
10,171,4.0,274
10,172,7.0,281
10,173,3.0,284
10,174,4.0,288
10,175,6.0,294
10,176,7.0,301
10,177,8.0,309
10,178,7.0,316
10,179,5.0,321
10,180,2.0,323
10,181,6.0,329
10,182,8.0,337
11,183,100000.0,251
11,184,6.0,257
11,185,2.0,259
11,186,6.0,265
11,187,5.0,270
11,188,5.0,275
11,189,3.0,278
11,190,11.0,289
11,191,3.0,292
11,192,2.0,294
11,193,3.0,297
11,194,2.0,299
11,195,6.0,305
11,196,5.0,310
11,197,5.0,315
11,198,5.0,320
11,199,1.0,321
11,200,3.0,324
11,201,4.0,328
11,202,4.0,332
