old_id,new_id
124012,1
732466,2
75064,3
705886,4
223897,5
357108,6
483689,7
259496,8
41450,9
184270,10
469487,11
415642,12
194706,13
529340,14
175212,15
186268,16
536901,17
153898,18
25286,19
445492,20
394696,21
320393,22
317856,23
65550,24
445918,25
398542,26
478978,27
764198,28
300880,29
665869,30
536534,31
232207,32
278843,33
560815,34
193316,35
700839,36
609361,37
389972,38
239860,39
411424,40
224596,41
58247,42
672661,43
51443,44
62312,45
524190,46
473718,47
454278,48
354801,49
346408,50
685964,51
317524,52
460170,53
442458,54
412438,55
199464,56
602459,57
437084,58
558052,59
278855,60
523405,61
558670,62
594056,63
750231,64
106644,65
254112,66
392179,67
91321,68
467095,69
368543,70
174009,71
4396,72
133029,73
40813,74
363444,75
497842,76
217838,77
638520,78
565275,79
594657,80
638244,81
52716,82
467401,83
407289,84
758828,85
59032,86
451610,87
357172,88
65232,89
79774,90
459878,91
285189,92
598649,93
389,94
225806,95
766212,96
735151,97
160775,98
23885,99
324996,100
335419,101
428038,102
453627,103
233094,104
232263,105
696590,106
302694,107
671215,108
701731,109
654261,110
576064,111
224571,112
733966,113
365531,114
64344,115
759092,116
106092,117
102280,118
205348,119
576564,120
508825,121
139962,122
314813,123
274401,124
580017,125
482137,126
414515,127
215332,128
689344,129
515801,130
29631,131
66562,132
460461,133
647258,134
659807,135
539463,136
471559,137
103890,138
346380,139
3212,140
278604,141
361419,142
102750,143
708595,144
647422,145
405334,146
561725,147
212839,148
550093,149
446964,150
18746,151
119105,152
529410,153
281014,154
255888,155
202462,156
709619,157
743175,158
619112,159
315457,160
140470,161
386888,162
409022,163
278194,164
585569,165
364077,166
691430,167
45371,168
740005,169
396703,170
443108,171
178490,172
307046,173
421722,174
332391,175
258886,176
571445,177
71652,178
8627,179
36432,180
570058,181
660629,182
412290,183
604636,184
483215,185
185680,186
732634,187
471961,188
750267,189
551963,190
425607,191
553868,192
288627,193
497344,194
81967,195
286311,196
258053,197
62942,198
296815,199
727135,200
168261,201
483915,202
139366,203
289252,204
4495,205
466082,206
419417,207
257392,208
624683,209
138028,210
689326,211
60231,212
285429,213
9562,214
305720,215
568992,216
137316,217
27593,218
7566,219
504844,220
515603,221
512456,222
524346,223
381537,224
596170,225
403156,226
709236,227
595519,228
565273,229
27591,230
485430,231
357203,232
204567,233
455867,234
14488,235
700083,236
495004,237
521738,238
495733,239
655982,240
675287,241
311299,242
467147,243
738711,244
404353,245
572091,246
618970,247
409156,248
109731,249
1808,250
449766,251
45472,252
471696,253
223755,254
496853,255
688602,256
612665,257
389091,258
624222,259
478049,260
34240,261
442838,262
158001,263
729379,264
526856,265
252987,266
220681,267
196034,268
529689,269
422490,270
740515,271
680067,272
389963,273
494642,274
124250,275
298710,276
506224,277
443471,278
219998,279
75742,280
510630,281
417026,282
282654,283
674836,284
685939,285
127818,286
199432,287
319968,288
534803,289
143762,290
158070,291
633001,292
209475,293
312181,294
87636,295
256271,296
553978,297
695908,298
507752,299
278800,300
65588,301
166842,302
388220,303
401306,304
165668,305
498221,306
674587,307
424923,308
699263,309
463771,310
75263,311
407219,312
493551,313
292188,314
415734,315
399365,316
265283,317
752799,318
562802,319
638570,320
102842,321
643843,322
362704,323
326390,324
220248,325
355263,326
286019,327
455457,328
238389,329
236540,330
1107,331
19431,332
211478,333
271072,334
61785,335
212887,336
7322,337
550505,338
73677,339
115324,340
302928,341
188213,342
139868,343
312592,344
112004,345
204881,346
461616,347
533644,348
718804,349
477288,350
686075,351
87509,352
40113,353
520965,354
657204,355
595802,356
470653,357
191761,358
328137,359
392222,360
272885,361
323846,362
380827,363
140668,364
109146,365
144719,366
352360,367
603963,368
127494,369
476802,370
268190,371
512080,372
563642,373
627368,374
528615,375
542959,376
401179,377
433932,378
256510,379
191712,380
163372,381
404805,382
166063,383
446792,384
203776,385
317974,386
187004,387
146681,388
138145,389
327203,390
464093,391
136340,392
626677,393
530764,394
293256,395
276376,396
567234,397
313150,398
696697,399
406068,400
183582,401
611342,402
511069,403
21147,404
205872,405
565728,406
266280,407
435777,408
540366,409
551083,410
169620,411
612209,412
308265,413
321152,414
461498,415
603546,416
413124,417
596075,418
149832,419
435611,420
303744,421
517432,422
587672,423
399023,424
708026,425
73014,426
515690,427
218737,428
413467,429
444010,430
10925,431
185949,432
564827,433
543523,434
374127,435
305539,436
595705,437
10202,438
559042,439
451733,440
571391,441
216673,442
492362,443
137846,444
389713,445
308020,446
97121,447
602793,448
707749,449
72894,450
292887,451
643653,452
231616,453
482731,454
341074,455
502813,456
405486,457
372197,458
320235,459
178919,460
85656,461
184205,462
153651,463
95340,464
331678,465
170819,466
507707,467
154190,468
156786,469
625535,470
744844,471
381903,472
470946,473
536587,474
575099,475
433092,476
628641,477
223250,478
619810,479
513943,480
281136,481
728487,482
143446,483
310087,484
240151,485
597007,486
84194,487
663704,488
422675,489
41824,490
64196,491
592894,492
297302,493
160183,494
153413,495
61361,496
309365,497
445301,498
416360,499
78678,500
253555,501
179992,502
653044,503
243434,504
336862,505
294928,506
663301,507
484745,508
373377,509
680503,510
682926,511
181265,512
717629,513
386359,514
1710,515
564167,516
114760,517
479683,518
25140,519
748478,520
711253,521
204148,522
403607,523
699150,524
