user_id,basket_id,days_since_prior_basket
1,1,100000
1,2,16
1,3,21
1,4,6
1,5,7
1,6,7
1,7,3
1,8,17
1,9,9
1,10,9
1,11,9
1,12,10
1,13,5
1,14,8
1,15,14
1,16,11
1,17,8
1,18,8
1,19,5
1,20,11
1,21,11
1,22,17
1,23,11
1,24,2
1,25,6
1,26,9
1,27,9
1,28,11
1,29,6
1,30,7
1,31,13
1,32,15
1,33,9
1,34,14
1,35,11
1,36,14
1,37,12
1,38,9
1,39,1
1,40,5
1,41,9
1,42,0
1,43,16
1,44,12
1,45,8
1,46,0
1,47,9
1,48,7
1,49,6
1,50,6
1,51,2
1,52,4
1,53,10
1,54,19
1,55,2
1,56,3
1,57,6
1,58,9
1,59,13
1,60,13
1,61,7
1,62,9
1,63,9
1,64,2
1,65,2
1,66,10
1,67,2
1,68,10
1,69,7
1,70,8
1,71,2
1,72,11
1,73,15
1,74,12
1,75,4
1,76,4
1,77,0
2,78,100000
2,79,9
2,80,5
2,81,1
2,82,3
2,83,18
2,84,1
2,85,7
2,86,7
2,87,6
2,88,1
2,89,3
2,90,3
2,91,3
2,92,4
2,93,13
2,94,7
2,95,13
2,96,1
2,97,14
2,98,17
2,99,10
2,100,10
2,101,4
2,102,28
2,103,27
2,104,17
2,105,10
2,106,70
2,107,17
2,108,29
2,109,2
2,110,15
2,111,4
2,112,7
2,113,53
2,114,36
2,115,5
2,116,10
2,117,21
2,118,6
3,119,100000
3,120,8
3,121,15
3,122,3
3,123,2
3,124,1
3,125,21
3,126,3
3,127,3
3,128,4
3,129,9
3,130,4
3,131,8
3,132,12
3,133,11
3,134,2
3,135,4
3,136,6
3,137,13
3,138,1
3,139,5
3,140,0
3,141,5
3,142,7
3,143,6
3,144,25
3,145,13
3,146,16
3,147,40
3,148,6
3,149,7
3,150,21
3,151,13
3,152,15
3,153,10
3,154,5
3,155,11
3,156,16
3,157,2
3,158,11
3,159,25
3,160,30
3,161,35
3,162,9
3,163,64
4,164,100000
4,165,36
4,166,14
4,167,27
4,168,9
4,169,9
4,170,17
4,171,15
4,172,13
4,173,4
4,174,3
4,175,13
4,176,24
4,177,4
4,178,10
4,179,19
4,180,7
4,181,13
4,182,13
4,183,2
4,184,1
4,185,1
4,186,20
4,187,43
4,188,46
4,189,29
4,190,88
4,191,21
5,192,100000
5,193,3
5,194,9
5,195,14
5,196,20
5,197,7
5,198,16
5,199,0
5,200,14
5,201,13
5,202,0
5,203,10
5,204,1
5,205,0
5,206,31
5,207,35
5,208,42
5,209,5
5,210,15
5,211,14
5,212,84
5,213,15
5,214,13
5,215,3
5,216,0
5,217,1
5,218,10
5,219,20
5,220,41
5,221,21
5,222,15
5,223,6
5,224,24
6,225,100000
6,226,7
6,227,2
6,228,3
6,229,2
6,230,0
6,231,1
6,232,2
6,233,3
6,234,1
6,235,2
6,236,1
6,237,1
6,238,3
6,239,2
